"dataset","source","yi","vi","logor","or","ub","lb","menopause","period","year","cases","weight"
"dosresmeta::oc_breast::oc_breast","dosresmeta",0.148420005118273,0.0312676144886663,0.148420005118273,1.16,1.64,0.82,1,1972,1977,81,31.9819729248125
"dosresmeta::oc_breast::oc_breast","dosresmeta",-0.0943106794712413,0.0946493022048043,-0.0943106794712413,0.91,1.67,0.5,1,1972,1977,23,10.5653182506954
"dosresmeta::oc_breast::oc_breast","dosresmeta",0.56531380905006,0.0664862943999145,0.56531380905006,1.76,2.94,1.07,1,1972,1977,49,15.0406938606776
"dosresmeta::oc_breast::oc_breast","dosresmeta",-0.162518929497775,0.0718624185989932,-0.162518929497775,0.85,1.43,0.5,1,1972,1977,30,13.9154793213989
"dosresmeta::oc_breast::oc_breast","dosresmeta",0.246860077931526,0.0603866232007968,0.246860077931526,1.28,2.07,0.79,1,1972,1977,39,16.5599589279038
"dosresmeta::oc_breast::oc_breast","dosresmeta",0,0.422624471968721,0,1,3.58,0.28,1,1972,1977,4,2.36616681315608
"dosresmeta::oc_breast::oc_breast","dosresmeta",-0.083381608939051,0.537000952701503,-0.083381608939051,0.92,3.89,0.22,1,1972,1977,3,1.86219408917112
"dosresmeta::oc_breast::oc_breast","dosresmeta",-0.198450938723838,0.826403287528386,-0.198450938723838,0.82,4.94,0.14,1,1972,1977,2,1.21006295000448
"dosresmeta::oc_breast::oc_breast","dosresmeta",-0.356674943938732,0.234225095533048,-0.356674943938732,0.7,1.8,0.27,1,1972,1977,7,4.26939734072562
"dosresmeta::oc_breast::oc_breast","dosresmeta",-0.0304592074847086,0.300532980185206,-0.0304592074847086,0.97,2.83,0.33,1,1972,1977,6,3.32742183364948
"dosresmeta::oc_breast::oc_breast","dosresmeta",-0.462035459596559,0.0455971462549982,-0.462035459596559,0.63,0.97,0.42,1,1974,1978,37,21.9311970623684
"dosresmeta::oc_breast::oc_breast","dosresmeta",0.451075619360217,0.0588259771802139,0.451075619360217,1.57,2.51,0.97,1,1974,1978,36,16.9992926243535
"dosresmeta::oc_breast::oc_breast","dosresmeta",0.0582689081239758,0.0636546125190545,0.0582689081239758,1.06,1.64,0.61,1,1974,1978,32,15.7097806494487
"dosresmeta::oc_breast::oc_breast","dosresmeta",-0.127833371509885,0.100648444814035,-0.127833371509885,0.88,1.63,0.47,1,1974,1979,16,9.93557329025473
"dosresmeta::oc_breast::oc_breast","dosresmeta",-0.0512932943875506,0.114865649275424,-0.0512932943875506,0.95,1.85,0.49,1,1974,1979,14,8.70582290099808
