"dataset","source","yi","vi","weight"
"dosresmeta::coffee_mort::coffee_mort","dosresmeta",-0.16280294322215,0.000830898726243259,1203.51610661542
"dosresmeta::coffee_mort::coffee_mort","dosresmeta",-0.156345658072433,0.000954626442533113,1047.53017038423
"dosresmeta::coffee_mort::coffee_mort","dosresmeta",-0.0908993509849091,0.00245135373408581,407.937861474299
"dosresmeta::coffee_mort::coffee_mort","dosresmeta",-0.0843597871848863,7.18921775438688e-05,13909.7191678441
"dosresmeta::coffee_mort::coffee_mort","dosresmeta",-0.0848745534656794,0.00510040230104525,196.062965424329
"dosresmeta::coffee_mort::coffee_mort","dosresmeta",-0.474304182685085,0.00946417287159008,105.661637162381
"dosresmeta::coffee_mort::coffee_mort","dosresmeta",-0.0686822668586255,0.00077077638865025,1297.39314115623
"dosresmeta::coffee_mort::coffee_mort","dosresmeta",-0.0232457412877837,0.00237099062344538,421.764637156962
"dosresmeta::coffee_mort::coffee_mort","dosresmeta",-0.126736037277317,0.00642598392800206,155.618191891575
"dosresmeta::coffee_mort::coffee_mort","dosresmeta",-0.085124510316799,0.000176905827421967,5652.72503779505
"dosresmeta::coffee_mort::coffee_mort","dosresmeta",-0.0833541074558622,0.000218553130418181,4575.54644990256
"dosresmeta::coffee_mort::coffee_mort","dosresmeta",-0.262987973533176,0.0133714729726457,74.7860764513915
"dosresmeta::coffee_mort::coffee_mort","dosresmeta",-0.109596769003003,0.00145141590372983,688.982391215511
"dosresmeta::coffee_mort::coffee_mort","dosresmeta",-0.136297549399717,0.000336324023722239,2973.32313324687
"dosresmeta::coffee_mort::coffee_mort","dosresmeta",-0.251131970904461,0.00415850677962911,240.470931753342
