"dataset","source","yi","vi","weeks","weight"
"metaSEM::Hox02::Hox02","metaSEM",-0.264,0.086,3,11.6279069767442
"metaSEM::Hox02::Hox02","metaSEM",-0.23,0.106,1,9.43396226415094
"metaSEM::Hox02::Hox02","metaSEM",0.166,0.055,2,18.1818181818182
"metaSEM::Hox02::Hox02","metaSEM",0.173,0.084,4,11.9047619047619
"metaSEM::Hox02::Hox02","metaSEM",0.225,0.071,3,14.0845070422535
"metaSEM::Hox02::Hox02","metaSEM",0.291,0.078,6,12.8205128205128
"metaSEM::Hox02::Hox02","metaSEM",0.309,0.051,7,19.6078431372549
"metaSEM::Hox02::Hox02","metaSEM",0.435,0.093,9,10.752688172043
"metaSEM::Hox02::Hox02","metaSEM",0.476,0.149,3,6.71140939597315
"metaSEM::Hox02::Hox02","metaSEM",0.617,0.095,6,10.5263157894737
"metaSEM::Hox02::Hox02","metaSEM",0.651,0.11,6,9.09090909090909
"metaSEM::Hox02::Hox02","metaSEM",0.718,0.054,7,18.5185185185185
"metaSEM::Hox02::Hox02","metaSEM",0.74,0.081,9,12.3456790123457
"metaSEM::Hox02::Hox02","metaSEM",0.745,0.084,5,11.9047619047619
"metaSEM::Hox02::Hox02","metaSEM",0.758,0.087,6,11.4942528735632
"metaSEM::Hox02::Hox02","metaSEM",0.922,0.103,5,9.70873786407767
"metaSEM::Hox02::Hox02","metaSEM",0.938,0.113,5,8.84955752212389
"metaSEM::Hox02::Hox02","metaSEM",0.962,0.083,7,12.0481927710843
"metaSEM::Hox02::Hox02","metaSEM",1.522,0.1,9,10
"metaSEM::Hox02::Hox02","metaSEM",1.844,0.141,9,7.09219858156028
