"dataset","source","yi","vi","hrs","homework","type","n2i","year","ets","n1i","outcome","weight"
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",0.22,0.0817,7,1,1,22,1980,1,28,"verbal",12.2399020807834
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",0.09,0.0507,10,1,1,40,1980,1,39,"verbal",19.723865877712
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",0.14,0.1045,10.5,1,1,17,1980,1,22,"verbal",9.56937799043062
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",0.14,0.0442,10,1,1,43,1980,1,48,"verbal",22.6244343891403
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",-0.01,0.0535,6,1,1,74,1980,1,25,"verbal",18.6915887850467
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",0.14,0.0557,5,1,1,35,1980,1,37,"verbal",17.9533213644524
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",0.18,0.0561,11,1,1,70,1980,1,24,"verbal",17.825311942959
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",0.01,0.1151,45,1,1,19,1980,1,16,"verbal",8.68809730668984
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",0.13,0.0147,21,1,1,129,1973,1,145,"verbal",68.0272108843537
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",0.12,0.0147,21,1,1,129,1973,1,145,"math",68.0272108843537
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",0.25,0.0218,21,1,1,129,1973,1,72,"verbal",45.8715596330275
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",0.06,0.0216,21,1,1,129,1973,1,72,"math",46.2962962962963
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",0.31,0.0221,21,1,1,129,1973,1,71,"verbal",45.2488687782805
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",0.09,0.0219,21,1,1,129,1973,1,71,"math",45.662100456621
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",0,0.1484,8.9,0,1,14,1986,0,13,"verbal",6.73854447439353
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",0.07,0.1484,8.9,0,1,14,1986,0,13,"math",6.73854447439353
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",0.01,0.0503,7.5,0,1,37,1966,1,43,"verbal",19.8807157057654
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",0.67,0.1366,7.5,0,1,13,1966,1,19,"verbal",7.32064421669107
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",-0.38,0.1561,7.5,0,1,11,1966,1,16,"verbal",6.40614990390775
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",-0.24,0.1342,7.5,0,1,12,1966,1,20,"verbal",7.45156482861401
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",0.29,0.062,7.5,0,1,28,1966,1,39,"verbal",16.1290322580645
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",0.26,0.0669,7.5,0,1,25,1966,1,38,"math",14.9476831091181
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",-0.41,0.1352,7.5,0,1,13,1966,1,18,"math",7.39644970414201
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",0.08,0.1297,7.5,0,1,13,1966,1,19,"math",7.71010023130301
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",0.3,0.0732,7.5,0,1,22,1966,1,37,"math",13.6612021857923
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",-0.53,0.1482,7.5,0,1,11,1966,1,19,"math",6.74763832658569
