"dataset","source","yi","vi","logrr","dose","peryears","cases","weight"
"dosresmeta::alcohol_crc::alcohol_crc","dosresmeta",-0.416729986667633,0.0630499995688261,-0.416729986667633,1.82860004901886,43030.5390625,38,15.8604283400254
"dosresmeta::alcohol_crc::alcohol_crc","dosresmeta",-0.395550012588501,0.060320004125064,-0.395550012588501,9.19919967651367,53088.9609375,43,16.5782482031443
"dosresmeta::alcohol_crc::alcohol_crc","dosresmeta",-0.488420009613037,0.0693700087076728,-0.488420009613037,22.8570995330811,45348.08984375,32,14.4154515565081
"dosresmeta::alcohol_crc::alcohol_crc","dosresmeta",-0.279029995203018,0.102920005881843,-0.279029995203018,35.6666984558105,19790.7890625,16,9.71628393752767
"dosresmeta::alcohol_crc::alcohol_crc","dosresmeta",0.202319994568825,0.0818899972955476,0.202319994568825,58.4257011413574,19919.849609375,27,12.2115036393385
"dosresmeta::alcohol_crc::alcohol_crc","dosresmeta",-0.415890008211136,0.0256999984716092,-0.415890008211136,2.09999990463257,106825.5078125,65,38.9105081506016
"dosresmeta::alcohol_crc::alcohol_crc","dosresmeta",-0.0986000001430511,0.0203699976602287,-0.0986000001430511,9.5,119845.6484375,104,49.0918073079824
"dosresmeta::alcohol_crc::alcohol_crc","dosresmeta",0.09375,0.0273899984935334,0.09375,18.7999992370605,58034.23046875,63,36.5096770719463
"dosresmeta::alcohol_crc::alcohol_crc","dosresmeta",0.205119997262955,0.0341700044783445,0.205119997262955,36.7000007629395,33081.3984375,46,29.2654336827424
"dosresmeta::alcohol_crc::alcohol_crc","dosresmeta",0.343389987945557,0.0482799980093809,0.343389987945557,59.4000015258789,18454.9296875,30,20.7125112102469
"dosresmeta::alcohol_crc::alcohol_crc","dosresmeta",0.000660000019706786,0.00751000039842792,0.000660000019706786,1.70000004768372,105883.8515625,199,133.155785212652
"dosresmeta::alcohol_crc::alcohol_crc","dosresmeta",0.032480001449585,0.0140999997095151,0.032480001449585,8.60000038146973,47328.44140625,91,70.9219872767211
"dosresmeta::alcohol_crc::alcohol_crc","dosresmeta",-0.0501799993216991,0.0383500026528772,-0.0501799993216991,17.1000003814697,16577.880859375,29,26.0756174921666
"dosresmeta::alcohol_crc::alcohol_crc","dosresmeta",0.227349996566772,0.0454399970129913,0.227349996566772,37.7999992370605,10208.2998046875,25,22.0070437001592
"dosresmeta::alcohol_crc::alcohol_crc","dosresmeta",-0.104730002582073,0.173690013444006,-0.104730002582073,60.5999984741211,3542.36010742188,6,5.75738339914621
"dosresmeta::alcohol_crc::alcohol_crc","dosresmeta",-0.0776700004935265,0.0274299989327551,-0.0776700004935265,1.79999995231628,189462.4375,70,36.4564359791449
"dosresmeta::alcohol_crc::alcohol_crc","dosresmeta",-0.0551699995994568,0.0347900032718236,-0.0551699995994568,10.1999998092651,125765.8515625,50,28.7438892197489
"dosresmeta::alcohol_crc::alcohol_crc","dosresmeta",-0.736329972743988,0.141580007113934,-0.736329972743988,19.5,39168.8515625,8,7.06314415703673
"dosresmeta::alcohol_crc::alcohol_crc","dosresmeta",-0.196979999542236,0.144690013538739,-0.196979999542236,35.7999992370605,21872.869140625,8,6.91132701934722
