"dataset","source","yi","vi","n2","n_total","n1","domain","miyake","es_id","weight"
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.870862315,2.285219304,48,96,48,"updating","no",1,0.437594763115129
"psymetadata::maldonado2020::maldonado2020","psymetadata",-0.25783372,0.071895721,29,57,28,"shifting","no",2,13.9090336127236
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.534971769,0.980392349,29,57,28,"processing speed","no",3,1.01999980010044
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.396355112,0.113988532,29,57,28,"updating","no",4,8.77281233870088
"psymetadata::maldonado2020::maldonado2020","psymetadata",2.725806611,34501.95655,18,38,20,"shifting","no",5,2.89838635252701e-05
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.2530391,1.939528395,16,26,10,"shifting","no",6,0.515589254881726
"psymetadata::maldonado2020::maldonado2020","psymetadata",2.000934902,82.37022144,16,26,10,"updating","no",7,0.0121403097201629
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.671038217,412.2254792,16,26,10,"processing speed","no",8,0.0024258568440279
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.428281702,0.162786155,46,297,251,"updating","no",9,6.14302856406922
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.78242828,0.053866526,46,297,251,"shifting","yes",10,18.5644049144732
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.765631129,2.447009551,46,297,251,"updating","no",11,0.408662074731722
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.957228274,272.1793808,25,41,16,"inhibition","yes",12,0.00367404759706912
"psymetadata::maldonado2020::maldonado2020","psymetadata",3.391032136,164.3656227,16,39,23,"inhibition","yes",13,0.00608399727128585
"psymetadata::maldonado2020::maldonado2020","psymetadata",3.409400809,163.5397698,17,42,25,"inhibition","yes",14,0.00611472060418664
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.998403424,0.915732196,29,59,30,"updating","no",15,1.09202232308538
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.783426363,1.013920143,29,59,30,"updating","no",16,0.986270967101203
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.077654893,1.261782095,16,32,16,"inhibition","yes",17,0.792529870222956
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.787737395,28.99439155,16,33,17,"inhibition","no",18,0.0344894286978062
"psymetadata::maldonado2020::maldonado2020","psymetadata",-0.385491555,0.852511848,34,59,25,"processing speed","no",19,1.17300422550843
"psymetadata::maldonado2020::maldonado2020","psymetadata",-0.118179535,0.789291587,34,59,25,"shifting","no",20,1.26695889892971
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.225993148,0.072516108,34,59,25,"shifting","yes",21,13.7900395867908
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.146547114,0.855798654,30,67,37,"updating","no",22,1.16849915026859
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.143036016,0.877222357,31,65,34,"updating","no",23,1.13996182612113
"psymetadata::maldonado2020::maldonado2020","psymetadata",8.330703161,1.371516899,16,35,19,"inhibition","no",24,0.729119707332166
"psymetadata::maldonado2020::maldonado2020","psymetadata",2.29416619,0.1349244,48,96,48,"processing speed","no",25,7.41155787982011
