"dataset","source","yi","vi","logrr","cases","dose","dosep1","dosep2","weight"
"dosresmeta::alcohol_esoph::alcohol_esoph","dosresmeta",-0.2231435,0.125070444409,-0.2231435,16,4.464,4.464,6.678347,7.99549409714931
"dosresmeta::alcohol_esoph::alcohol_esoph","dosresmeta",0.5877867,0.12003896632896,0.5877867,25,14.286,14.286,37.99047,8.33062821667055
"dosresmeta::alcohol_esoph::alcohol_esoph","dosresmeta",1.064711,0.10678183527001,1.064711,48,37.5,37.5,135.9128,9.36488867672471
"dosresmeta::alcohol_esoph::alcohol_esoph","dosresmeta",2.00148,0.09863512828129,2.00148,106,64.5,64.5,268.7499,10.1383758243633
"dosresmeta::alcohol_esoph::alcohol_esoph","dosresmeta",0.0099503,0.07450344939024,0.0099503,20,67.2,67.2,282.7556,13.4221973369598
"dosresmeta::alcohol_esoph::alcohol_esoph","dosresmeta",0.8919981,0.11314995705729,0.8919981,13,193.6,193.6,1019.458,8.83782924896455
"dosresmeta::alcohol_esoph::alcohol_esoph","dosresmeta",1.22083,0.24727496655625,1.22083,5,322.44,322.44,1862.387,4.04408102416029
"dosresmeta::alcohol_esoph::alcohol_esoph","dosresmeta",-0.1625189,0.14722592022009,-0.1625189,16,10,10,23.02585,6.79228221841023
"dosresmeta::alcohol_esoph::alcohol_esoph","dosresmeta",-0.3424903,0.18236546762329,-0.3424903,12,29.6,29.6,100.2781,5.48349428777649
"dosresmeta::alcohol_esoph::alcohol_esoph","dosresmeta",0.3148108,0.07854757337956,0.3148108,50,79.6,79.6,348.4103,12.7311380476106
"dosresmeta::alcohol_esoph::alcohol_esoph","dosresmeta",1.272566,0.10336173560064,1.272566,46,159.6,159.6,809.5983,9.67476014396384
"dosresmeta::alcohol_esoph::alcohol_esoph","dosresmeta",1.66203,0.11496948211225,1.66203,49,240,240,1315.353,8.69796037720387
"dosresmeta::alcohol_esoph::alcohol_esoph","dosresmeta",1.163151,0.148674249889,1.163151,24,26.714,26.714,87.76051,6.7261143119713
"dosresmeta::alcohol_esoph::alcohol_esoph","dosresmeta",2.066863,0.11173543009225,2.066863,77,60.714,60.714,249.3023,8.94971272025703
"dosresmeta::alcohol_esoph::alcohol_esoph","dosresmeta",2.815409,0.12291881736484,2.815409,85,145.714,145.714,725.8956,8.13545087268341
"dosresmeta::alcohol_esoph::alcohol_esoph","dosresmeta",3.292126,0.17348182963225,3.292126,46,247.714,247.714,1365.468,5.76429244561127
"dosresmeta::alcohol_esoph::alcohol_esoph","dosresmeta",0.6931472,0.15443162988841,0.6931472,56,40,40,147.5552,6.47535741688788
"dosresmeta::alcohol_esoph::alcohol_esoph","dosresmeta",1.704748,0.21769176405025,1.704748,33,119.6,119.6,572.1847,4.59365104767661
"dosresmeta::alcohol_esoph::alcohol_esoph","dosresmeta",2.079442,0.24883416235584,2.079442,27,192,192,1009.439,4.01874079721405
"dosresmeta::alcohol_esoph::alcohol_esoph","dosresmeta",1.791759,0.16857470466225,1.791759,20,17.857,17.857,51.47094,5.93208810303754
"dosresmeta::alcohol_esoph::alcohol_esoph","dosresmeta",1.84055,0.28600173455569,1.84055,11,30.357,30.357,103.6093,3.49648229075786
"dosresmeta::alcohol_esoph::alcohol_esoph","dosresmeta",2.251292,0.19214888143441,2.251292,30,45,45,171.2998,5.20429779520392
"dosresmeta::alcohol_esoph::alcohol_esoph","dosresmeta",0.8458683,0.15021166761225,0.8458683,41,32.214,32.214,111.8599,6.65727247354285
"dosresmeta::alcohol_esoph::alcohol_esoph","dosresmeta",0.4382549,0.15965210931201,0.4382549,40,53.643,53.643,213.6253,6.26361909222063
"dosresmeta::alcohol_esoph::alcohol_esoph","dosresmeta",0.9858168,0.17243389130256,0.9858168,45,75.071,75.071,324.1892,5.79932397538577
"dosresmeta::alcohol_esoph::alcohol_esoph","dosresmeta",1.623341,0.18987823680004,1.623341,68,103.029,103.029,477.5405,5.26653299953009
"dosresmeta::alcohol_esoph::alcohol_esoph","dosresmeta",1.147402,0.04558084091089,1.147402,80,5.05,5.05,8.177911,21.9390423699069
"dosresmeta::alcohol_esoph::alcohol_esoph","dosresmeta",1.796747,0.04676129454096,1.796747,116,20.05,20.05,60.11449,21.3852077838449
"dosresmeta::alcohol_esoph::alcohol_esoph","dosresmeta",2.62684,0.06856400851729,2.62684,91,40.05,40.05,147.7896,14.5849115538195
"dosresmeta::alcohol_esoph::alcohol_esoph","dosresmeta",2.729812,0.049525386849,2.729812,202,60.12,60.12,246.2721,20.1916645911104
"dosresmeta::alcohol_esoph::alcohol_esoph","dosresmeta",-0.1053605,0.14722592022009,-0.1053605,34,1.143,1.143,0.1527693,6.79228221841023
"dosresmeta::alcohol_esoph::alcohol_esoph","dosresmeta",-0.2231435,0.14722592022009,-0.2231435,39,6.143,6.143,11.15147,6.79228221841023
"dosresmeta::alcohol_esoph::alcohol_esoph","dosresmeta",1.131402,0.15952363509681,1.131402,78,12.171,12.171,30.41601,6.26866357071873
"dosresmeta::alcohol_esoph::alcohol_esoph","dosresmeta",-0.210721,0.11205595570576,-0.210721,47,1.866,1.866,1.164006,8.92411290146711
"dosresmeta::alcohol_esoph::alcohol_esoph","dosresmeta",-0.3285041,0.14722592022009,-0.3285041,41,14.277,14.277,37.95755,6.79228221841023
"dosresmeta::alcohol_esoph::alcohol_esoph","dosresmeta",-0.1508229,0.39643242578944,-0.1508229,11,30,30,102.0359,2.52249799700072
"dosresmeta::alcohol_esoph::alcohol_esoph","dosresmeta",2.76001,0.11686730239396,2.76001,113,15.02,15.02,40.69493,8.55671329375771
"dosresmeta::alcohol_esoph::alcohol_esoph","dosresmeta",4.175925,0.43428429500625,4.175925,30,36.048,36.048,129.2267,2.30263910415091
"dosresmeta::alcohol_esoph::alcohol_esoph","dosresmeta",1.12493,0.27280366209721,1.12493,69,10,10,23.02585,3.66563994160629
"dosresmeta::alcohol_esoph::alcohol_esoph","dosresmeta",1.506297,0.33131984969521,1.506297,34,29.929,29.929,101.7235,3.0182314790977
"dosresmeta::alcohol_esoph::alcohol_esoph","dosresmeta",2.09679,0.37524163735809,2.09679,20,49.929,49.929,195.2525,2.6649494630728
"dosresmeta::alcohol_esoph::alcohol_esoph","dosresmeta",2.280339,0.34737479610201,2.280339,55,72,72,307.92,2.87873504704797
"dosresmeta::alcohol_esoph::alcohol_esoph","dosresmeta",1.418277,0.11732871907584,1.418277,47,49.107,49.107,191.2227,8.52306245117711
"dosresmeta::alcohol_esoph::alcohol_esoph","dosresmeta",1.826161,0.11875915361025,1.826161,57,80.357,80.357,352.4843,8.42040356132759
"dosresmeta::alcohol_esoph::alcohol_esoph","dosresmeta",2.672768,0.12265271756761,2.672768,84,124.107,124.107,598.3378,8.15310104685425
"dosresmeta::alcohol_esoph::alcohol_esoph","dosresmeta",3.197448,0.14044273409761,3.197448,72,180,180,934.7322,7.12033987678554
"dosresmeta::alcohol_esoph::alcohol_esoph","dosresmeta",0.4946962,0.07357553175361,0.4946962,41,10.714,10.714,25.4088,13.5914749940076
"dosresmeta::alcohol_esoph::alcohol_esoph","dosresmeta",0.9516579,0.06575947338321,0.9516579,55,32.136,32.136,111.5112,15.2069344316757
