"dataset","source","yi","vi","type_es","similarity","es","es_id","year","jrnl_impact","citations","weight"
"psymetadata::nuijten2020::nuijten2020","psymetadata",0.371053999608324,0.00266666666666666,"4","1",1,1,2003,4.426,59,375
"psymetadata::nuijten2020::nuijten2020","psymetadata",0.390009616981735,0.0121951219512196,"4","1",0.8,2,2006,3.355,22,81.9999999999993
"psymetadata::nuijten2020::nuijten2020","psymetadata",0.602716240068805,0.00854700854700856,"4","1",1.42,3,2011,4.426,9,117
"psymetadata::nuijten2020::nuijten2020","psymetadata",0.657779440360939,0.0029585798816568,"4","1",1.42,4,2010,2.682,2,338
"psymetadata::nuijten2020::nuijten2020","psymetadata",0.323984129535086,0.00495049504950495,"4","1",0.66,5,2010,3.355,32,202
"psymetadata::nuijten2020::nuijten2020","psymetadata",0.231332683339432,0.00252525252525252,"4","1",0.55,6,1999,13.747,269,396
"psymetadata::nuijten2020::nuijten2020","psymetadata",0.385659724201511,0.0029673590504451,"4","1",0.81,7,2007,3.271,36,337
"psymetadata::nuijten2020::nuijten2020","psymetadata",0.513950532426782,0.00467289719626168,"4","1",1.11,8,2002,NA,37,214
"psymetadata::nuijten2020::nuijten2020","psymetadata",0.468884062481733,0.0188679245283019,"4","1",0.975,9,2011,5.428,22,53
"psymetadata::nuijten2020::nuijten2020","psymetadata",0.687860398651907,0.015625,"4","1",1.583,10,2009,8.607,22,64
"psymetadata::nuijten2020::nuijten2020","psymetadata",0.615658369276191,0.00819672131147541,"4","0",1.314,11,1993,8.607,67,122
"psymetadata::nuijten2020::nuijten2020","psymetadata",0.595907954859457,0.00680272108843538,"4","0",1.275,12,1993,8.607,67,147
"psymetadata::nuijten2020::nuijten2020","psymetadata",0.491919110896092,0.0175438596491227,"4","1",1.024,13,2008,3.554,9,57.0000000000003
"psymetadata::nuijten2020::nuijten2020","psymetadata",0.480341968166985,0.0074074074074074,"4","1",0.999,14,2008,4.426,36,135
"psymetadata::nuijten2020::nuijten2020","psymetadata",0.438666795742491,0.00769230769230769,"4","0",0.907,15,2009,4.426,25,130
"psymetadata::nuijten2020::nuijten2020","psymetadata",0.252806334213803,0.0123456790123457,"4","1",0.573,16,1992,2.682,22,81.0000000000002
"psymetadata::nuijten2020::nuijten2020","psymetadata",0.256820261960855,0.010989010989011,"4","1",0.544,17,1987,8.607,40,90.9999999999997
"psymetadata::nuijten2020::nuijten2020","psymetadata",0.252605137047895,0.00440528634361234,"4","1",0.515,18,1984,3.167,11,227
"psymetadata::nuijten2020::nuijten2020","psymetadata",0.243737836785603,0.00769230769230769,"4","1",0.493,19,2010,8.607,38,130
"psymetadata::nuijten2020::nuijten2020","psymetadata",0.22921515864238,0.015625,"4","1",0.465,20,2010,2.974,8,64
"psymetadata::nuijten2020::nuijten2020","psymetadata",0.179774130703561,0.00363636363636363,"4","1",0.367,21,2000,8.607,32,275
"psymetadata::nuijten2020::nuijten2020","psymetadata",0.112264036742057,0.0103092783505155,"4","1",0.225,22,1985,8.607,28,96.9999999999998
"psymetadata::nuijten2020::nuijten2020","psymetadata",0.472819654859512,0.0163934426229508,"3","1",2.014903021,23,1976,NA,185,61
"psymetadata::nuijten2020::nuijten2020","psymetadata",0.157556482855262,0.00952380952380952,"3","1",1.252762968,24,2005,4.584,95,105
"psymetadata::nuijten2020::nuijten2020","psymetadata",0.268991829666865,0.00546448087431694,"3","1",1.401798548,25,1990,6.354,214,183
"psymetadata::nuijten2020::nuijten2020","psymetadata",0.136826720197108,0.0151515151515152,"3","1",0.619039208,26,2004,3.554,37,65.9999999999997
"psymetadata::nuijten2020::nuijten2020","psymetadata",-0.34106671863287,0.0204081632653062,"3","1",-1.974081026,27,1988,7.008,142,48.9999999999999
"psymetadata::nuijten2020::nuijten2020","psymetadata",0.0707085365389188,0.00348432055749129,"3","1",0.302963269,28,1991,5.297,145,287
"psymetadata::nuijten2020::nuijten2020","psymetadata",0.226547059212987,0.00543478260869566,"3","0",0.829166137,29,2004,3.5,81,184
"psymetadata::nuijten2020::nuijten2020","psymetadata",0.316854202766899,0.000919963201471943,"3","1",1.223348051,30,1983,NA,15,1087
"psymetadata::nuijten2020::nuijten2020","psymetadata",0.113092107914232,0.000413052457662124,"4","1",0.226666667,31,1978,3.292,124,2420.99999999999
"psymetadata::nuijten2020::nuijten2020","psymetadata",0.0696104353429831,0.000967117988394581,"4","1",0.139333333,32,1982,2.558,89,1034
