"dataset","source","yi","vi","target_electrode_placement","return_electrode_placement","task","intensity","population","es_id","blinding","stimulation","weight"
"psymetadata::schroeder2020::schroeder2020","psymetadata",-0.0496052175925733,0.105295535231742,"preSMA","other brain area","GNG","2 mA","healthy",1,"not reported","anodal",9.49707884383821
"psymetadata::schroeder2020::schroeder2020","psymetadata",0.115780662603724,0.0572386082988068,"F4","xtc","GNG","1.5 mA","healthy",2,"not reported","anodal",17.4707252625645
"psymetadata::schroeder2020::schroeder2020","psymetadata",0.515045720177203,0.0590376578133775,"F4","xtc","GNG","1.5 mA","healthy",3,"not reported","cathodal",16.9383413407265
"psymetadata::schroeder2020::schroeder2020","psymetadata",0.234923010559284,0.111877622512364,"preSMA","xtc","SST","1 mA","healthy",4,"success","anodal",8.93833795841955
"psymetadata::schroeder2020::schroeder2020","psymetadata",-0.0801004157959214,0.111200223286259,"preSMA","xtc","SST","1 mA","healthy",5,"success","cathodal",8.99278769814814
"psymetadata::schroeder2020::schroeder2020","psymetadata",-0.648261354491039,0.237249496814859,"F3","supraorbital","GNG","2 mA","other patients",6,"not reported","anodal",4.21497205863565
"psymetadata::schroeder2020::schroeder2020","psymetadata",-0.833932156293742,0.310551530046455,"other","supraorbital","GNG","2 mA","other patients",7,"not reported","anodal",3.22007751773244
"psymetadata::schroeder2020::schroeder2020","psymetadata",0.11712588493994,0.14310211558791,"other","other brain area","GNG","2 mA","healthy",8,"not reported","anodal",6.98801688494733
"psymetadata::schroeder2020::schroeder2020","psymetadata",-0.807828446596912,0.098324849990127,"rIFG","l cheek","SST","1.5 mA","healthy",9,"no blinding","anodal",10.1703689362395
"psymetadata::schroeder2020::schroeder2020","psymetadata",-0.327971871565197,0.0921314266879316,"other","l cheek","SST","1.5 mA","healthy",10,"no blinding","anodal",10.8540596401183
"psymetadata::schroeder2020::schroeder2020","psymetadata",-0.108264575598005,0.129355718575206,"rIFG","xtc","GNG","2 mA","healthy",11,"not reported","anodal",7.73062073338964
"psymetadata::schroeder2020::schroeder2020","psymetadata",-0.669050050043888,0.150850499454709,"rIFG","l cheek","SST","1.5 mA","healthy",12,"not reported","anodal",6.62907980825237
"psymetadata::schroeder2020::schroeder2020","psymetadata",-0.679193682693058,0.151094715332324,"rIFG","l cheek","SST","1.5 mA","healthy",13,"not reported","anodal",6.61836516122061
"psymetadata::schroeder2020::schroeder2020","psymetadata",-0.833039993059949,0.076284374423022,"rIFG","l cheek","SST","1.5 mA","other patients",14,"success","anodal",13.1088444725871
"psymetadata::schroeder2020::schroeder2020","psymetadata",-0.00437357841217808,0.0666668260682344,"F3","other brain area","GNG","1 mA","ADHD",15,"success","anodal",14.999964134733
"psymetadata::schroeder2020::schroeder2020","psymetadata",-0.592810963342837,0.0949025549802212,"rIFG","other brain area","SST","1.5 mA","healthy",16,"success","anodal",10.537124108075
"psymetadata::schroeder2020::schroeder2020","psymetadata",0.198573755602805,0.15460445262335,"rIFG","other brain area","SST","1.5 mA","healthy",17,"success","anodal",6.46811901618524
"psymetadata::schroeder2020::schroeder2020","psymetadata",-0.287337899575066,0.096437439127548,"rIFG","other brain area","GNG","1.5 mA","healthy",18,"success","anodal",10.369416785087
"psymetadata::schroeder2020::schroeder2020","psymetadata",-0.626574828115402,0.100128307540591,"rIFG","other brain area","GNG","1.5 mA","healthy",19,"success","cathodal",9.98718568766987
"psymetadata::schroeder2020::schroeder2020","psymetadata",-0.118632082040229,0.183653187217179,"rIFG","supraorbital","SST","1.5 mA","healthy",20,"no blinding","anodal",5.4450457144392
"psymetadata::schroeder2020::schroeder2020","psymetadata",-0.34711022579576,0.119418904541941,"other central","supraorbital","GNG","2 mA","healthy",21,"not reported","cathodal",8.37388354746456
"psymetadata::schroeder2020::schroeder2020","psymetadata",-0.664201162543725,0.0753675284314682,"F4","xtc","SST","1 mA","healthy",22,"success","anodal",13.2683135670198
"psymetadata::schroeder2020::schroeder2020","psymetadata",0.823704626228888,0.103531799160151,"F4","xtc","SST","1 mA","healthy",23,"success","cathodal",9.65886817491814
"psymetadata::schroeder2020::schroeder2020","psymetadata",-0.640368573158766,0.135780729722947,"rIFG","other brain area","SST","1 mA","healthy",24,"no blinding","anodal",7.36481533160444
"psymetadata::schroeder2020::schroeder2020","psymetadata",-0.649523736622902,0.135971200286611,"rIFG","other brain area","SST","1 mA","healthy",25,"no blinding","anodal",7.35449858420104
"psymetadata::schroeder2020::schroeder2020","psymetadata",0.22646693866759,0.129993880768432,"rIFG","other brain area","SST","1 mA","healthy",26,"no blinding","anodal",7.69266979406034
"psymetadata::schroeder2020::schroeder2020","psymetadata",0.0270359024608652,0.129178456021858,"rIFG","other brain area","SST","1 mA","healthy",27,"no blinding","anodal",7.74122892311696
"psymetadata::schroeder2020::schroeder2020","psymetadata",-0.566698415065974,0.148591912386398,"preSMA","l cheek","SST","1.5 mA","healthy",28,"no blinding","anodal",6.72984137521296
"psymetadata::schroeder2020::schroeder2020","psymetadata",-0.402084722385194,0.145744145070992,"preSMA","l cheek","SST","1.5 mA","healthy",29,"no blinding","cathodal",6.86133909196075
"psymetadata::schroeder2020::schroeder2020","psymetadata",-0.132384842330539,0.143170102615694,"other central","l cheek","SST","1.5 mA","healthy",30,"no blinding","anodal",6.98469849312226
"psymetadata::schroeder2020::schroeder2020","psymetadata",-0.158526215638383,0.143305902875797,"other central","l cheek","SST","1.5 mA","healthy",31,"no blinding","cathodal",6.97807961802313
"psymetadata::schroeder2020::schroeder2020","psymetadata",-0.884260338210666,0.199589007857555,"rIFG","supraorbital","SST","1 mA","healthy",32,"not reported","anodal",5.0102959613572
"psymetadata::schroeder2020::schroeder2020","psymetadata",-0.103551121063281,0.182061882606215,"rIFG","other brain area","SST","1 mA","healthy",33,"not reported","cathodal",5.49263791895923
"psymetadata::schroeder2020::schroeder2020","psymetadata",-0.643263500224251,0.191222452970926,"rIFG","other brain area","SST","1 mA","healthy",34,"not reported","anodal",5.22951141177988
