"dataset","source","yi","vi","weight"
"metaplus::cdp::cdp","metaplus",0.26,0.146423365,6.82951112344673
"metaplus::cdp::cdp","metaplus",0.01,0.043757809,22.8530637811413
"metaplus::cdp::cdp","metaplus",2.22,0.168686224,5.92816636881978
"metaplus::cdp::cdp","metaplus",0.58,0.1368245,7.30863259138532
"metaplus::cdp::cdp","metaplus",0.34,0.1368245,7.30863259138532
"metaplus::cdp::cdp","metaplus",0.33,0.081632653,12.2500000091875
"metaplus::cdp::cdp","metaplus",0.14,0.057502082,17.3906746541803
"metaplus::cdp::cdp","metaplus",0.15,0.009397126,106.415514700984
"metaplus::cdp::cdp","metaplus",0.5,0.073120575,13.6760412510432
"metaplus::cdp::cdp","metaplus",0.13,0.044831581,22.305704543411
