"dataset","source","yi","vi","fn","tn","tp","fp","weight"
"mada::AuditC::AuditC","mada",3.64174633213305,0.143643710504937,9,738,47,101,6.96166923344428
"mada::AuditC::AuditC","mada",2.64013806029432,0.0318689098019852,51,1543,126,272,31.3785443623085
"mada::AuditC::AuditC","mada",3.41444260841218,0.241173245614035,10,192,19,12,4.14639690838827
"mada::AuditC::AuditC","mada",3.74859868881556,0.377554812337421,3,276,36,78,2.64862204724409
"mada::AuditC::AuditC","mada",3.43712841269651,0.0661059760001375,19,959,130,211,15.1272254114805
"mada::AuditC::AuditC","mada",4.0067982828394,0.537846599313883,2,89,84,68,1.85926619462812
"mada::AuditC::AuditC","mada",6.24558121827576,2.02584870412342,0,423,68,112,0.493620277745616
"mada::AuditC::AuditC","mada",7.23623424103654,2.00197468924383,0,2977,752,3226,0.499506814632962
"mada::AuditC::AuditC","mada",3.3734212319752,0.242483911900662,5,136,59,55,4.12398493640959
"mada::AuditC::AuditC","mada",2.62949461439752,0.0291522470636294,50,2788,142,571,34.3026730604108
"mada::AuditC::AuditC","mada",2.94963124741897,0.0611050272215682,24,358,137,107,16.3652656003896
"mada::AuditC::AuditC","mada",4.3896431860324,0.362874260365985,3,437,57,103,2.75577551020408
"mada::AuditC::AuditC","mada",4.50718977762789,1.09488795518207,1,56,34,21,0.913335465302207
"mada::AuditC::AuditC","mada",2.19066717679006,0.0413383056571911,51,264,152,88,24.1906382978723
