"dataset","source","yi","vi","result_id","tn","fp","tp","fn","weight"
"mada::IAQ::IAQ","mada",6.87932490889055,0.141947620752932,1,854,9,379,37,7.04485214120323
"mada::IAQ::IAQ","mada",5.06914487517402,0.0391308051051028,2,1078,45,478,72,25.5553137052526
"mada::IAQ::IAQ","mada",5.14516618705386,0.0687775187775188,1,594,45,312,24,14.5396347203916
"mada::IAQ::IAQ","mada",6.64031146877135,0.875145180023229,1,164,2,28,3,1.14266755142668
"mada::IAQ::IAQ","mada",6.52668255078176,0.426133596653828,1,77,13,346,3,2.34668190410801
"mada::IAQ::IAQ","mada",5.8171111599632,0.389642857142857,2,75,25,336,3,2.56645279560037
"mada::IAQ::IAQ","mada",6.12995756880168,0.201080778765343,1,370,15,149,8,4.97312575642539
"mada::IAQ::IAQ","mada",5.14873072372576,0.539129326162274,1,76,2,213,47,1.85484252381219
"mada::IAQ::IAQ","mada",4.3523239728787,0.162206081546909,2,95,9,206,28,6.16499696227977
"mada::IAQ::IAQ","mada",8.16559107319823,2.45344249246688,3,20,2,214,0,0.40759056023136
"mada::IAQ::IAQ","mada",2.71111064725532,0.277925590298815,4,14,29,187,6,3.59808536855076
"mada::IAQ::IAQ","mada",6.79741160776857,2.15886292280805,5,20,9,207,0,0.463206806432755
"mada::IAQ::IAQ","mada",8.29229810706322,2.10037130195233,1,181,0,126,11,0.476106295620438
"mada::IAQ::IAQ","mada",7.29326060458874,0.657139387209827,2,179,2,115,7,1.52174716576637
"mada::IAQ::IAQ","mada",7.4118583569873,1.5362428269405,1,43,1,77,2,0.650938759461319
"mada::IAQ::IAQ","mada",5.08899827013184,0.626213097633664,2,43,11,83,2,1.59690048607863
"mada::IAQ::IAQ","mada",4.95582705760126,0.514084507042254,3,42,7,71,3,1.94520547945205
"mada::IAQ::IAQ","mada",4.07941891200542,0.425856307435255,4,42,18,76,3,2.34820990681707
"mada::IAQ::IAQ","mada",5.88149041975368,0.0211492309139334,1,3322,68,1357,185,47.2830432496337
"mada::IAQ::IAQ","mada",7.32700049627224,0.0619448078210852,1,6632,423,1649,17,16.1434030579011
