"dataset","source","yi","vi","ux","ryyi","rxxi","weight"
"psychmeta::data_r_uvdrr::data_r_uvdrr","psychmeta",0.0400213538367682,0.0133333333333333,0.44,0.71,0.36,75
"psychmeta::data_r_uvdrr::data_r_uvdrr","psychmeta",0.192337169219545,0.00460829493087558,0.64,0.73,0.64,217
"psychmeta::data_r_uvdrr::data_r_uvdrr","psychmeta",0.110446915790097,0.00578034682080925,0.65,0.74,0.7,173
"psychmeta::data_r_uvdrr::data_r_uvdrr","psychmeta",0.309519604203112,0.00571428571428571,0.63,0.82,0.56,175
"psychmeta::data_r_uvdrr::data_r_uvdrr","psychmeta",0.130739850028878,0.00261096605744125,0.67,0.82,0.64,383
"psychmeta::data_r_uvdrr::data_r_uvdrr","psychmeta",0.0500417292784913,0.00429184549356223,0.65,0.83,0.65,233
"psychmeta::data_r_uvdrr::data_r_uvdrr","psychmeta",0.0801713250375897,0.00220264317180617,0.71,0.79,0.61,454
"psychmeta::data_r_uvdrr::data_r_uvdrr","psychmeta",0.0200026673068496,0.003125,0.69,0.78,0.59,320
"psychmeta::data_r_uvdrr::data_r_uvdrr","psychmeta",0.181982688600706,0.00854700854700855,0.44,0.78,0.27,117
"psychmeta::data_r_uvdrr::data_r_uvdrr","psychmeta",0.110446915790097,0.00336700336700337,0.75,0.84,0.69,297
"psychmeta::data_r_uvdrr::data_r_uvdrr","psychmeta",0.0902441878561468,0.00934579439252336,0.57,0.71,0.61,107
"psychmeta::data_r_uvdrr::data_r_uvdrr","psychmeta",0.287682072451781,0.00282485875706215,0.77,0.76,0.72,354
"psychmeta::data_r_uvdrr::data_r_uvdrr","psychmeta",0.202732554054082,0.00413223140495868,0.71,0.86,0.66,242
"psychmeta::data_r_uvdrr::data_r_uvdrr","psychmeta",0,0.00276243093922652,0.71,0.73,0.72,362
"psychmeta::data_r_uvdrr::data_r_uvdrr","psychmeta",0.140925576070494,0.00555555555555556,0.54,0.7,0.67,180
