"dataset","source","yi","vi","z","year","z_se","sex","mean_age","weight"
"metaviz::brainvol::brainvol","metaviz",0.342828254415394,0.0588235294117647,0.34,1991,0.243,"women",18.9,17
"metaviz::brainvol::brainvol","metaviz",0.562729769352149,0.0588235294117647,0.56,1991,0.243,"men",18.9,17
"metaviz::brainvol::brainvol","metaviz",0.472230804420426,0.037037037037037,0.47,1993,0.192,"women",38,27
"metaviz::brainvol::brainvol","metaviz",0.423648930193602,0.0294117647058824,0.42,1993,0.171,"men",38,34
"metaviz::brainvol::brainvol","metaviz",0.459896681212679,0.0384615384615385,0.46,1993,0.196,"mixed",43.8,26
"metaviz::brainvol::brainvol","metaviz",0.342828254415394,0.0232558139534884,0.34,1994,0.152,"men",12.1,43
"metaviz::brainvol::brainvol","metaviz",0.423648930193602,0.027027027027027,0.42,1994,0.164,"women",25,37
"metaviz::brainvol::brainvol","metaviz",0.320545409301946,0.027027027027027,0.32,1995,0.164,"men",22.5,37
"metaviz::brainvol::brainvol","metaviz",0.309519604203112,0.0153846153846154,0.31,1995,0.124,"mixed",27.66,65
"metaviz::brainvol::brainvol","metaviz",0,0.0119047619047619,0,1995,0.109,"mixed",11.28,84
"metaviz::brainvol::brainvol","metaviz",0.388423099718296,0.0185185185185185,0.39,1996,0.136,"women",10.6,54
"metaviz::brainvol::brainvol","metaviz",0.576339754969193,0.111111111111111,0.58,1996,0.333,"men",10.1,9
"metaviz::brainvol::brainvol","metaviz",0.400059650056057,0.0169491525423729,0.4,1997,0.13,"mixed",24.8,59
"metaviz::brainvol::brainvol","metaviz",0.255412811882995,0.0114942528735632,0.26,1998,0.107,"mixed",27,87
"metaviz::brainvol::brainvol","metaviz",0.423648930193602,0.027027027027027,0.42,1999,0.164,"women",25,37
"metaviz::brainvol::brainvol","metaviz",0.41180003447869,0.027027027027027,0.41,1999,0.164,"men",27,37
"metaviz::brainvol::brainvol","metaviz",0.725005087752999,0.0196078431372549,0.73,1999,0.14,"women",22,51
"metaviz::brainvol::brainvol","metaviz",0.287682072451781,0.0217391304347826,0.29,1999,0.147,"men",22,46
"metaviz::brainvol::brainvol","metaviz",0.320545409301946,0.0303030303030303,0.32,2000,0.174,"mixed",10.06,33
"metaviz::brainvol::brainvol","metaviz",0.447692023527421,0.010752688172043,0.45,2000,0.104,"mixed",16.97,93
"metaviz::brainvol::brainvol","metaviz",0.365443754271396,0.0153846153846154,0.36,2000,0.124,"men",24.97,65
"metaviz::brainvol::brainvol","metaviz",0.223656109021832,0.0526315789473684,0.22,2000,0.229,"women",80.7,19
"metaviz::brainvol::brainvol","metaviz",0.0701146706543251,0.0232558139534884,0.07,2000,0.152,"men",80.7,43
"metaviz::brainvol::brainvol","metaviz",0.21317134656486,0.0144927536231884,0.21,2000,0.12,"women",23.2,69
"metaviz::brainvol::brainvol","metaviz",-0.0300090048631265,0.125,-0.03,2000,0.354,"mixed",7.75,8
"metaviz::brainvol::brainvol","metaviz",0.618381313574464,0.2,0.62,2000,0.447,"mixed",7.75,5
