"dataset","source","yi","vi","logrr","adjrr","lb","ub","type","case","dose","year","weight"
"dosresmeta::milk_ov::milk_ov","dosresmeta",-0.10536054214878,0.18913166955144,-0.10536054214878,0.899999976158142,0.400000005960464,2.20000004768372,"cc",21,0.550000011920929,1991,5.28732180269799
"dosresmeta::milk_ov::milk_ov","dosresmeta",0.262364227787709,0.161547664464812,0.262364227787709,1.29999995231628,0.600000023841858,2.90000009536743,"cc",35,1.14999997615814,1991,6.19012353606524
"dosresmeta::milk_ov::milk_ov","dosresmeta",-0.10536054214878,0.168574652685409,-0.10536054214878,0.899999976158142,0.400000005960464,2,"cc",16,1.79999995231628,1991,5.93208993208596
"dosresmeta::milk_ov::milk_ov","dosresmeta",0.0392206764734992,0.0383612359179505,0.0392206764734992,1.03999996185303,0.709999978542328,1.52999997138977,"cc",107,0.899999976158142,1994,26.0679818069174
"dosresmeta::milk_ov::milk_ov","dosresmeta",-0.150822873100729,0.0407794550924206,-0.150822873100729,0.860000014305115,0.579999983310699,1.27999997138977,"cc",102,1.60000002384186,1994,24.522152091872
"dosresmeta::milk_ov::milk_ov","dosresmeta",0.067658697494456,0.0408465364381305,0.067658697494456,1.07000005245209,0.720000028610229,1.5900000333786,"cc",143,2.40000009536743,1994,24.4818799144618
"dosresmeta::milk_ov::milk_ov","dosresmeta",0.00995032141084807,0.0319039390690483,0.00995032141084807,1.00999999046326,0.709999978542328,1.42999994754791,"cc",133,1.10000002384186,1998,31.344091957916
"dosresmeta::milk_ov::milk_ov","dosresmeta",0.0582688541424092,0.0331043014421674,0.0582688541424092,1.05999994277954,0.740000009536743,1.50999999046326,"cc",134,1.60000002384186,1998,30.2075548021148
"dosresmeta::milk_ov::milk_ov","dosresmeta",0.336472219591314,0.0331168482157097,0.336472219591314,1.39999997615814,0.980000019073486,2,"cc",177,2.40000009536743,1998,30.1961102544061
"dosresmeta::milk_ov::milk_ov","dosresmeta",-0.030459177989627,0.0360303245003612,-0.030459177989627,0.970000028610229,0.670000016689301,1.4099999666214,"cc",149,3.79999995231628,1998,27.7543989366505
"dosresmeta::milk_ov::milk_ov","dosresmeta",-0.597836979081204,0.0304491171054805,-0.597836979081204,0.550000011920929,0.550000011920929,1.0900000333786,"cc",140,0.600000023841858,2002,32.8416747367697
